"02123",42.338947,-70.919635,"Boston","MA","Suffolk"
"04123",44.408078,-70.470703,"Portland","ME","Cumberland"
"06123",41.791776,-72.718832,"Hartford","CT","Hartford"
"09123",,,"Apo","AE",
"10123",40.751489,-73.990537,"New York","NY","New York"
"12123",42.565736,-73.629023,"Nassau","NY","Rensselaer"
"13123",43.236407,-75.776918,"North Bay","NY","Oneida"
"15123",40.434436,-80.024817,"West Mifflin","PA","Allegheny"
"16123",40.813208,-80.199126,"Fombell","PA","Beaver"
"17123",40.267518,-76.883734,"Harrisburg","PA","Dauphin"
"19123",39.98238,-75.115369,"Philadelphia","PA","Philadelphia"
"21123",38.974203,-76.594942,"Pasadena","MD","Anne Arundel"
"23123",37.563225,-78.53643,"New Canton","VA","Buckingham"
"25123",38.704805,-81.914474,"Leon","WV","Mason"
"28123",35.529792,-80.947028,"Mount Mourne","NC","Iredell"
"29123",33.766538,-81.247547,"Pelion","SC","Lexington"
"30123",34.244179,-84.845684,"Cassville","GA","Bartow"
"32123",29.022729,-81.172169,"Daytona Beach","FL","Volusia"
"35123",33.544622,-86.929208,"Palmerdale","AL","Jefferson"
"36123",32.233377,-86.208528,"Montgomery","AL","Montgomery"
"42123",36.815869,-85.992039,"Austin","KY","Barren"
"43123",39.969036,-83.011389,"Grove City","OH","Franklin"
"44123",41.602548,-81.525842,"Euclid","OH","Cuyahoga"
"45123",39.288414,-83.583223,"Greenfield","OH","Highland"
"46123",39.721434,-86.488881,"Avon","IN","Hendricks"
"47123",38.281966,-86.484327,"Grantsburg","IN","Crawford"
"48123",42.239933,-83.150823,"Dearborn","MI","Wayne"
"50123",40.80286,-93.518445,"Humeston","IA","Wayne"
"54123",44.211065,-88.151532,"Forest Junction","WI","Calumet"
"55123",44.805989,-93.140878,"Saint Paul","MN","Dakota"
"56123",44.048028,-95.704397,"Currie","MN","Murray"
"58123",46.934596,-97.229718,"Fargo","ND","Cass"
"60123",42.036325,-88.371044,"Elgin","IL","Kane"
"63123",38.547552,-90.324115,"Saint Louis","MO","Saint Louis"
"64123",39.068154,-94.505231,"Kansas City","MO","Jackson"
"67123",37.937595,-97.038364,"Potwin","KS","Butler"
"68123",41.115628,-95.939269,"Bellevue","NE","Sarpy"
"69123",41.049046,-100.391826,"Brady","NE","Lincoln"
"70123",29.951082,-90.206031,"New Orleans","LA","Jefferson"
"72123",35.25881,-91.236983,"Patterson","AR","Woodruff"
"73123",35.535989,-97.202331,"Oklahoma City","OK","Oklahoma"
"75123",32.767268,-96.777626,"Desoto","TX","Dallas"
"76123",32.771419,-97.291484,"Fort Worth","TX","Tarrant"
"78123",29.600748,-98.041576,"Mc Queeney","TX","Guadalupe"
"79123",35.401475,-101.895089,"Amarillo","TX","Potter"
"80123",39.620596,-105.090085,"Littleton","CO","Jefferson"
"81123",37.435812,-105.573480,"Blanca","CO","Costilla"
"83123",42.206598,-110.286804,"La Barge","WY","Lincoln"
"84123",40.65963,-111.919269,"Salt Lake City","UT","Salt Lake"
"87123",35.069999,-106.457841,"Albuquerque","NM","Bernalillo"
"88123",33.717607,-103.145119,"Lingo","NM","Roosevelt"
"89123",35.988844,-115.157513,"Las Vegas","NV","Clark"
"91123",33.786594,-118.298662,"Pasadena","CA","Los Angeles"
"92123",32.810983,-117.136812,"San Diego","CA","San Diego"
"94123",37.79967,-122.435732,"San Francisco","CA","San Francisco"
"95123",37.189396,-121.705327,"San Jose","CA","Santa Clara"
"96123",40.776154,-120.326259,"Ravendale","CA","Lassen"
"97123",45.458397,-122.977963,"Hillsboro","OR","Washington"
"99123",47.913065,-119.042562,"Electric City","WA","Grant"
